,index,subject,relation,object
0,1087076,11,isa,film
1,1087113,15,isa,band
2,1087128,16,isa,weapon
3,1087155,1984,isa,film
4,1087156,1984,isa,album
5,1087187,1st,isa,album
6,1087216,201,isa,device
7,1087252,25,isa,weapon
8,1087257,26,isa,weapon
9,1087262,28,isa,weapon
10,1087263,28,isa,book
11,1087335,30,isa,weapon
12,1087341,31,isa,weapon
13,1087346,32,isa,weapon
14,1087352,33,isa,weapon
15,1087356,34,isa,weapon
16,1087361,37,isa,weapon
17,1087370,38,isa,weapon
18,1087374,39,isa,weapon
19,1087408,3m,isa,company
20,1087422,40,isa,weapon
21,1087428,41,isa,weapon
22,1087431,43,isa,weapon
23,1087437,46,isa,weapon
24,1087498,53,isa,weapon
25,1087503,55,isa,weapon
26,1087516,61,isa,film
27,1087517,63,isa,book
28,1087536,73,isa,album
29,1087540,77,isa,weapon
30,1087542,79,isa,weapon
31,1087584,90,isa,weapon
32,1087590,91,isa,weapon
33,1087593,92,isa,album
34,1087596,94,isa,weapon
35,1087602,98,isa,album
36,1087617,a,isa,musical_artist
37,1087624,aa,isa,tangible_thing
38,1087626,aa,isa,person
39,1087627,aa,isa,river
40,1087668,aaron,isa,band
41,1087670,aaron,isa,given_name
42,1087772,abbas,isa,person
43,1087798,abc,isa,software
44,1087816,abdominal,isa,musical_artist
45,1087888,abdul,isa,given_name
46,1087890,abdullah,isa,given_name
47,1087895,abel,isa,given_name
48,1087908,aberdeen,isa,city
49,1087937,abidjan,isa,city
50,1088057,abortion,isa,disease
51,1088083,abraham,isa,given_name
52,1088264,abuja,isa,capital
53,1088288,abyss,isa,film
54,1088290,abyss,isa,book
55,1088564,academy,isa,agent_non_geographical
56,1088670,acc,isa,company
57,1088729,access,isa,company
58,1088838,accordance,isa,software
59,1088932,accusation,isa,film
60,1089363,acquire,isa,company
61,1089386,acquisition,isa,software
62,1089411,acreage,isa,area
63,1089537,act,isa,event
64,1089570,acting,isa,activity
65,1089645,action,isa,event
66,1089653,action,isa,state
67,1089655,action,isa,software
68,1089735,active,isa,person
69,1089770,activist,isa,person
70,1089789,actor,isa,musical_artist
71,1089790,actor,isa,person
72,1089801,actress,isa,human
73,1089802,actress,isa,person
74,1089810,actually,isa,album
75,1089941,adam,isa,person
76,1089943,adam,isa,given_name
77,1090070,adelaide,isa,city
78,1090072,adelaide,isa,capital
79,1090073,adelaide,isa,given_name
80,1090193,adige,isa,river
81,1090327,administrator,isa,person
82,1090366,adnan,isa,person
83,1090387,adolf,isa,given_name
84,1090461,adrian,isa,given_name
85,1090463,adriana,isa,given_name
86,1090477,adult,isa,person
87,1090644,adversary,isa,person
88,1090695,advocate,isa,magazine
89,1090697,advocate,isa,person
90,1091038,afghan,isa,asian
91,1091039,afghan,isa,person
92,1091040,afghan,isa,person_with_nationality
93,1091059,afghanistan,isa,country
94,1091063,afghanistan,isa,state
95,1091097,africa,isa,administrative_region
96,1091099,african,isa,human
97,1091101,african,isa,person
98,1091102,african,isa,person_with_nationality
99,1091273,afterwards,isa,film
100,1091281,again,isa,album
101,1091451,aggregate,isa,weapon
102,1091516,agnes,isa,given_name
103,1091517,agnes,isa,book
104,1091689,ahmad,isa,given_name
105,1091693,ahold,isa,company
106,1091703,ai,isa,musical_artist
107,1091712,aid,isa,activity
108,1091714,aid,isa,river
109,1091726,aids,isa,disease
110,1091816,air,isa,region
111,1091817,air,isa,band
112,1092066,airbus,isa,company
113,1092168,airplane,isa,film
114,1092226,airports,isa,place
115,1092252,aishwarya,isa,person
116,1092310,aki,isa,given_name
117,1092315,akira,isa,person
118,1092393,alan,isa,given_name
119,1092408,alarm,isa,weapon
120,1092413,alarm,isa,device
121,1092422,alaska,isa,administrative_region
